"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","should fill sign up form and submit it","","2026-05-25","skipped","2026-05-25","","","",""
"","0","should show if the element is clickable","","2026-05-25","skipped","2026-05-25","","","",""
"","567","should show if navigation to API page is correct","HW_2","2026-05-25","passed","2026-05-25","","","",""
"","0","should show waitUntil command","","2026-05-25","skipped","2026-05-25","","","",""
"","2257","should navigate to API page and check Title+URL","HW_1","2026-05-25","passed","2026-05-25","","","",""
"","1","should have correct title","","2026-05-25","skipped","2026-05-25","","","",""
"","0","should show getAttribute command","","2026-05-25","skipped","2026-05-25","","","",""
"","0","should show getLocation command","","2026-05-25","skipped","2026-05-25","","","",""
"","3491","should open Trending Developers page from Open Source menu","HW_4_test_cases","2026-05-25","passed","2026-05-25","","","",""
"","278","should show getHTML command","HW_2","2026-05-25","broken","2026-05-25","","","",""
"","0","should show if an element is focused","","2026-05-25","skipped","2026-05-25","","","",""
"","2917","should open compare all features page from Pricing","HW_4_test_cases","2026-05-25","passed","2026-05-25","","","",""
"","1254","should find Playwright logo text inside iframe","Working with frames","2026-05-25","passed","2026-05-25","","","",""
"","1297","should show navigating within windows","HW_2","2026-05-25","passed","2026-05-25","","","",""
"","0","should show click command","","2026-05-25","skipped","2026-05-25","","","",""
"","0","should show movement to element action","","2026-05-25","skipped","2026-05-25","","","",""
"","1012","should show if API isDisplayed, isClickable and isFocused after click","HW_2","2026-05-25","passed","2026-05-25","","","",""
"","905","should allow entering email into the email field","HW_4_test_cases","2026-05-25","passed","2026-05-25","","","",""
"","0","should show save screenshot command","","2026-05-25","skipped","2026-05-25","","","",""
"","636","should waitUntil Appium appears","HW_2","2026-05-25","passed","2026-05-25","","","",""
"","0","should show if an element is enabled","","2026-05-25","skipped","2026-05-25","","","",""
"","5186","should open Copilot plans page and start plan selection","HW_4_test_cases","2026-05-25","passed","2026-05-25","","","",""
"","0","should show getText command","","2026-05-25","skipped","2026-05-25","","","",""
"","1","should show if the element is visible","","2026-05-25","skipped","2026-05-25","","","",""
"","293","should verify WebDriver heading link attribute","HW_1","2026-05-25","passed","2026-05-25","","","",""
"","0","should show waitUntil command","","2026-05-25","skipped","2026-05-25","","","",""
"","202","should show if Protocol Commands isDisplayed after scrollIntoView to it","HW_2","2026-05-25","passed","2026-05-25","","","",""
"","0","should show movement to element action","","2026-05-25","skipped","2026-05-25","","","",""
"","538","should display the Product Hunt image with width 242","HW_3_selectors","2026-05-25","passed","2026-05-25","","","",""
"","6434","should focus the email input after click","HW_3_selectors","2026-05-25","passed","2026-05-25","","","",""
"","1669","should saveScreenshot from another site","HW_2","2026-05-25","passed","2026-05-25","","","",""
"","374","should display Introduction heading","HW_1","2026-05-25","passed","2026-05-25","","","",""
"","1793","should show navigating within windows","HW_2","2026-05-25","passed","2026-05-25","","","",""
"","0","should show click command","","2026-05-25","skipped","2026-05-25","","","",""
"","397","should display Introduction heading","HW_1","2026-05-25","passed","2026-05-25","","","",""
"","169","should verify WebDriver heading link attribute","HW_1","2026-05-25","passed","2026-05-25","","","",""
"","522","should display the Product Hunt image with width 242","HW_3_selectors","2026-05-25","passed","2026-05-25","","","",""
"","338","should waitUntil Appium appears","HW_2","2026-05-25","passed","2026-05-25","","","",""
"","258","should get location GitHub link","HW_1","2026-05-25","passed","2026-05-25","","","",""
"","628","should open search modal and input should be enabled and focused","HW_2","2026-05-25","passed","2026-05-25","","","",""
"","5852","should show if API isDisplayed, isClickable and isFocused after click","HW_2","2026-05-25","passed","2026-05-25","","","",""
"","0","should show if an element is enabled","","2026-05-25","skipped","2026-05-25","","","",""
"","685","should open search modal and input should be enabled and focused","HW_2","2026-05-25","passed","2026-05-25","","","",""
"","511","should navigate to Protocol Commands successfully","HW_2","2026-05-25","passed","2026-05-25","","","",""
"","246","should show getText command defyning language of the page","HW_1","2026-05-25","passed","2026-05-25","","","",""
"","886","should focus the People tab after click","HW_3_selectors","2026-05-25","passed","2026-05-25","","","",""
"","4483","should type into search and clear the search input","HW_1","2026-05-25","passed","2026-05-25","","","",""
"","237","should navigate to Protocol Commands successfully","HW_2","2026-05-25","passed","2026-05-25","","","",""
"","6734","should open the Magic Brush page after clicking the tool card","HW_3_selectors","2026-05-25","passed","2026-05-25","","","",""
