"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","should show setValue command","","2026-05-25","skipped","2026-05-25","","","",""
"","0","should show if the element is displayed","","2026-05-25","skipped","2026-05-25","","","",""
"","456","should show if Protocol Commands isDisplayed after scrollIntoView to it","HW_2","2026-05-25","passed","2026-05-25","","","",""
"","0","should show save screenshot command","","2026-05-25","skipped","2026-05-25","","","",""
"","0","should show getText command","","2026-05-25","skipped","2026-05-25","","","",""
"","0","should switch to another window","","2026-05-25","skipped","2026-05-25","","","",""
"","0","should show getText command","","2026-05-25","skipped","2026-05-25","","","",""
"","447","should display Introduction heading","HW_1","2026-05-25","passed","2026-05-25","","","",""
"","1346","should show if API isDisplayed, isClickable and isFocused after click","HW_2","2026-05-25","passed","2026-05-25","","","",""
"","3215","should saveScreenshot from another site","HW_2","2026-05-25","passed","2026-05-25","","","",""
"","1614","should show navigating within windows","HW_2","2026-05-25","passed","2026-05-25","","","",""
"","0","should show addValue command","","2026-05-25","skipped","2026-05-25","","","",""
"","0","should show waitUntil command","","2026-05-25","skipped","2026-05-25","","","",""
"","316","should show if Protocol Commands isDisplayed after scrollIntoView to it","HW_2","2026-05-25","passed","2026-05-25","","","",""
"","292","should verify WebDriver heading link attribute","HW_1","2026-05-25","passed","2026-05-25","","","",""
"","0","should show getLocation command","","2026-05-25","skipped","2026-05-25","","","",""
"","447","should verify WebDriver heading link attribute","HW_1","2026-05-25","passed","2026-05-25","","","",""
"","3604","should saveScreenshot from another site","HW_2","2026-05-25","passed","2026-05-25","","","",""
"","534","should waitUntil Appium appears","HW_2","2026-05-25","passed","2026-05-25","","","",""
"","2663","should focus the email input after click","HW_3_selectors","2026-05-25","broken","2026-05-25","","","",""
"","1299","should allow entering email into the email field","HW_4_test_cases","2026-05-25","passed","2026-05-25","","","",""
"","1706","should display CI/CD information in Documentation","HW_4_test_cases","2026-05-25","passed","2026-05-25","","","",""
"","1","should show click command","","2026-05-25","skipped","2026-05-25","","","",""
"","1","should have correct title","","2026-05-25","skipped","2026-05-25","","","",""
"","1415","should allow entering email into the email field","HW_4_test_cases","2026-05-25","passed","2026-05-25","","","",""
"","1681","should display the Convey an Image button section","HW_3_selectors","2026-05-25","passed","2026-05-25","","","",""
"","0","should show addValue command","","2026-05-25","skipped","2026-05-25","","","",""
"","0","should show if an element is focused","","2026-05-25","skipped","2026-05-25","","","",""
"","2","should have correct title","","2026-05-25","skipped","2026-05-25","","","",""
"","1412","should show if navigation to API page is correct","HW_2","2026-05-25","passed","2026-05-25","","","",""
"","4179","should open compare all features page from Pricing","HW_4_test_cases","2026-05-25","passed","2026-05-25","","","",""
"","1412","should display the Convey an Image button section","HW_3_selectors","2026-05-25","passed","2026-05-25","","","",""
"","2222","should navigate to API page and check Title+URL","HW_1","2026-05-25","passed","2026-05-25","","","",""
"","1101","should open search modal and input should be enabled and focused","HW_2","2026-05-25","passed","2026-05-25","","","",""
"","0","should show if the element is clickable","","2026-05-25","skipped","2026-05-25","","","",""
"","0","should show if the element is clickable","","2026-05-25","skipped","2026-05-25","","","",""
"","0","should switch to another window","","2026-05-25","skipped","2026-05-25","","","",""
"","0","should show using asserts","","2026-05-25","skipped","2026-05-25","","","",""
"","4905","should type into search and clear the search input","HW_1","2026-05-25","passed","2026-05-25","","","",""
"","277","should show getText command defyning language of the page","HW_1","2026-05-25","passed","2026-05-25","","","",""
"","60003","should open compare all features page from Pricing","HW_4_test_cases","2026-05-25","broken","2026-05-25","","","",""
"","309","should show getText command defyning language of the page","HW_1","2026-05-25","passed","2026-05-25","","","",""
"","0","should show getAttribute command","","2026-05-25","skipped","2026-05-25","","","",""
"","1580","should display CI/CD information in Documentation","HW_4_test_cases","2026-05-25","passed","2026-05-25","","","",""
"","0","should show movement to element action","","2026-05-25","skipped","2026-05-25","","","",""
"","7724","should open Copilot plans page and start plan selection","HW_4_test_cases","2026-05-25","passed","2026-05-25","","","",""
"","0","should show if an element is focused","","2026-05-25","skipped","2026-05-25","","","",""
"","7764","should focus the email input after click","HW_3_selectors","2026-05-25","passed","2026-05-25","","","",""
"","0","should show if an element is enabled","","2026-05-25","skipped","2026-05-25","","","",""
"","433","should display Introduction heading","HW_1","2026-05-25","passed","2026-05-25","","","",""
"","5282","should open Copilot plans page and start plan selection","HW_4_test_cases","2026-05-25","passed","2026-05-25","","","",""
"","4855","should open Trending Developers page from Open Source menu","HW_4_test_cases","2026-05-25","passed","2026-05-25","","","",""
"","0","should get html for certain elements","","2026-05-25","skipped","2026-05-25","","","",""
"","1002","should focus the People tab after click","HW_3_selectors","2026-05-25","passed","2026-05-25","","","",""
"","0","should get html for certain elements","","2026-05-25","skipped","2026-05-25","","","",""
"","0","should show save screenshot command","","2026-05-25","skipped","2026-05-25","","","",""
"","300","should get location GitHub link","HW_1","2026-05-25","passed","2026-05-25","","","",""
"","2836","should open the Magic Brush page after clicking the tool card","HW_3_selectors","2026-05-25","broken","2026-05-25","","","",""
"","7741","should open the Magic Brush page after clicking the tool card","HW_3_selectors","2026-05-25","passed","2026-05-25","","","",""
"","0","should show using asserts","","2026-05-25","skipped","2026-05-25","","","",""
"","1632","should show navigating within windows","HW_2","2026-05-25","passed","2026-05-25","","","",""
"","971","should show if navigation to API page is correct","HW_2","2026-05-25","passed","2026-05-25","","","",""
"","1088","should find Playwright logo text inside iframe","Working with frames","2026-05-25","passed","2026-05-25","","","",""
"","966","should display the Product Hunt image with width 242","HW_3_selectors","2026-05-25","passed","2026-05-25","","","",""
"","0","should show getAttribute command","","2026-05-25","skipped","2026-05-25","","","",""
"","1","should fill sign up form and submit it","","2026-05-25","skipped","2026-05-25","","","",""
"","0","should show if the element is visible","","2026-05-25","skipped","2026-05-25","","","",""
"","4680","should type into search and clear the search input","HW_1","2026-05-25","passed","2026-05-25","","","",""
"","0","should show if the element is displayed","","2026-05-25","skipped","2026-05-25","","","",""
"","0","should show waitUntil command","","2026-05-25","skipped","2026-05-25","","","",""
"","773","should open search modal and input should be enabled and focused","HW_2","2026-05-25","passed","2026-05-25","","","",""
"","3988","should open Trending Developers page from Open Source menu","HW_4_test_cases","2026-05-25","passed","2026-05-25","","","",""
"","0","should show click command","","2026-05-25","skipped","2026-05-25","","","",""
"","4007","should show if API isDisplayed, isClickable and isFocused after click","HW_2","2026-05-25","passed","2026-05-25","","","",""
